subject_id,question,question_text,lured_answer,correct_answer,transcription,functions_extracted
73,1,"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?",Nunu,Mary," Mary's father has five daughters, but no sons. Nana, Nini, Nini, and Nono. What is the fifth daughter's name? Probably. A-E-I-O-U. It would be Nunu.","1. Pattern Completion - A-E-I-O-U. It would be Nunu.
2. Hypothesis Generation - What is the fifth daughter's name? Probably.
3. Information Repetition - Mary's father has five daughters, but no sons. Nana, Nini, Nini, and Nono."
49,7,The wind blows west. An electric train runs east. In which direction does the smoke blow?,West,No smoke," The wind blows west, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow? Oh, I don't know the answer to this one. Well, I don't know, does it blow in the opposite direction of the train? I have no idea. West, let's say west. I literally don't know. Too much, too much for me to think about.","1. Initial Confession - ""Oh, I don't know the answer to this one.""
2. Hypothesis Generation - ""Well, I don't know, does it blow in the opposite direction of the train?""
3. Arbitrary Decision - ""West, let's say west.""
4. Expression of Overwhelm - ""I literally don't know. Too much, too much for me to think about."""
70,4,"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?",Any animal,No banana on coconut tree," Sorry, just hold on. A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first? The monkey, the squirrel or the bird? They won't get either because it's a coconut tree. Can I do the next answer? A coconut tree. Can I do the next answer?","1. Question Reiteration - ""A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first?""
2. Alternative Evaluation - ""The monkey, the squirrel or the bird?""
3. Assumption Challenge - ""They won't get either because it's a coconut tree.""
4. Task Avoidance - ""Can I do the next answer?"" (appears twice)"
101,6,How many of each animal did Moses put on the ark?,Two,, .,No clear function identified.
81,10,Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?,b,The yolk is yellow, No.,No clear function identified.
41,9,Would it be ethical for a man to marry the sister of his widow?,Yes / No,Not possible," Would it be ethical for a man to marry the sister of his widow? Okay, so if this man has a widow, does that mean he's dead? No. Yes. No. Yes. If the man has a widow, okay, you don't have a widow. No one has a widow because then they're dead. They can be a widow, right? So I'm going to say the man is dead. But is it ethical? No, just the man is dead. I think so. I think I'm","1. Revisiting Assumptions - ""No. Yes. No. Yes.""
2. Conceptual Clarification - ""So I'm going to say the man is dead.""
3. Redirection of Focus - ""But is it ethical? No, just the man is dead.""
4. Self-Confirmation - ""I think so. I think I'm"""
75,1,"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?",Nunu,Mary," Mary's father has five daughters, but no sons. Nana, Nene, Nene, No-No. What is the fifth daughter's name? Probably. Please remember to read aloud and say everything that comes to mind. Okay. So let's see. So we've got Nana, Nene, Nene, and No-No. I've seen questions like this before. And it says Mary's father. So Mary has to be the fifth daughter. So Mary is the name of the fifth daughter. Because I guess I'll just give them a response. But yeah, that would be why it is. Because, I mean, it says Mary's father. And it names all the others. Okay.","1. Re-reading - ""Okay. So let's see. So we've got Nana, Nene, Nene, and No-No.""
2. Analogizing - ""I've seen questions like this before.""
3. Inferring - ""So Mary has to be the fifth daughter.""
4. Justifying - ""Because, I mean, it says Mary's father. And it names all the others.""
5. Concluding - ""So Mary is the name of the fifth daughter. Because I guess I'll just give them a response."""
22,4,"A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first?",Any animal,No banana on coconut tree," A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first? The monkey, the squirrel or the bird? A monkey, a squirrel and a bird. They're all capable of getting there first but I suppose the monkey might be more interested in the banana so I think probably the monkey although the squirrel is very fast and could get to the top of the tree really quick the bird could fly up there but monkeys are very agile and they do like bananas so I would be going for the monkey","1. Weighing Options - ""They're all capable of getting there first but I suppose the monkey might be more interested""
2. Evaluating Attributes - ""the squirrel is very fast and could get to the top of the tree really quick the bird could fly up there""
3. Making Assumptions - ""monkeys are very agile and they do like bananas""
4. Drawing Conclusions - ""so I would be going for the monkey"""
59,10,Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?,b,The yolk is yellow, Which sentence is correct? The egg of the egg is white. The egg of the egg is all right neither because the egg of the egg is yellow.,"1. Error Recognition - ""The egg of the egg is white. The egg of the egg is all right neither""
2. Alternative Generation - ""because the egg of the egg is yellow""
3. Correction Adjustment - ""The egg of the egg is all right neither because the egg of the egg is yellow"""
37,6,How many of each animal did Moses put on the ark?,Two,, How many of each animal did Moses put on the ark? Two. In order for them to procreate. A male and a female.,"1. Assumption Making - ""Two. In order for them to procreate.""
2. Rationale Providing - ""A male and a female."" 
3. Default Reasoning - The entire transcription, as the participant relies on a common, but incorrect, default assumption."
20,10,Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?,b,The yolk is yellow," Which sentence is correct? A, B, R, Y, B, U, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z",No clear function identified.
64,7,The wind blows west. An electric train runs east. In which direction does the smoke blow?,West,No smoke," The wind blows west, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow? None, because it's electric.","1. Identifying Assumptions - ""None, because it's electric""
2. Challenging Intuition - The whole transcription, as the participant rejects the obvious answer and provides a correct reasoning.
3. Providing Justification - ""because it's electric"""
63,9,Would it be ethical for a man to marry the sister of his widow?,Yes / No,Not possible," Would it be ethical for a man to marry the sister of his widow? Would it be ethical for a man to marry the sister of his widow? Let me think about this for a second. So if the man is marrying the sister of his widow, he is marrying his sister-in-law. I wouldn't really say. I don't know. It could be. I guess it's not ethical. Well, I don't see any reason why it wouldn't be ethical. It might be frowned upon. But if he's marrying the sister of his widow... Yeah, the sister of his widow is... Oh, wait. No, that's not possible. Because you can't marry the sister of your widow. Because if the man has a widow, that means that he's's dead so he isn't alive to actually marry anyone if he's got a widow so it's not possible","1. Repeating Question - Would it be ethical for a man to marry the sister of his widow? Would it be ethical for a man to marry the sister of his widow?
2. Initial Uncertainty - Let me think about this for a second. I wouldn't really say. I don't know.
3. Hypothesis Formation - I guess it's not ethical. Well, I don't see any reason why it wouldn't be ethical.
4. Social Norm Consideration - It might be frowned upon.
5. Insight Generation - Oh, wait. No, that's not possible.
6. Logical Analysis - Because you can't... Because if... so it's not possible"
83,9,Would it be ethical for a man to marry the sister of his widow?,Yes / No,Not possible," Oh no, I think I got the last one wrong. Oh, I'm so sad. Okay. Would it be ethical for a man to marry the sister of his widow? The sister of... Wait. A widow? Wait, which one is the widow, the man or the woman? A widow is a woman who has lost her spouse, right? A widow is a woman who has lost her spouse. A widow is the woman. Okay, right? She is the woman. Would it be ethical for a man to marry his sister, wait, that doesn't make sense, because if the sister of his widow, that would mean that he's dead, so, yeah, he can't marry, he's dead, so he can't, I mean, it's not a question of whether it's ethical or not. It's just not possible. I don't know how to answer this. I don't know what to respond. He's dead. So, wait, the sister of his widow. Yeah, yeah, I'm saying something. He's dead, so he can't, he can't marry anyone.","1. Error Recognition - Oh no, I think I got the last one wrong. Oh, I'm so sad.
2. Concept Clarification - A widow is a woman who has lost her spouse, right? 
3. Analyzing Assumptions - Wait, which one is the widow, the man or the woman?
4. Logical Deduction - if the sister of his widow, that would mean that he's dead, so, yeah, he can't marry
5. Conclusion Evaluation - I don't know how to answer this. I don't know what to respond.
6. Restating Conclusions - He's dead, so he can't, he can't marry anyone."
36,3,It’s a stormy night and a plane crashes - in which country do you bury the survivors?,Burial location,Don't bury survivors, It's a stormy night and the plane takes off from JFK airport in New York. The storm worsens in the United States. Because it's from the... The plane was coming.,"1. Contextualizing - It's a stormy night and the plane takes off from JFK airport in New York.
2. Elaborating - The storm worsens in the United States.
3. Revising - Because it's from the... 
4. Integrating - The plane was coming."
33,10,Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?,b,The yolk is yellow," Which sentence is correct? A. The yolk of the egg are white. Or B. The yolk of the egg is white. Okay. Right away, I'm a proofreader. So I'm like, have I missed a trick here? Yeah, because yolk is singular. And that is linked to the verb, which is singular. So that is a grammatically correct question, but a yolk of an egg is not white, it is yellow. So I'm going to put it is grammatically correct. B is grammatically correct. Grammatically correct. But let's punctuate it with semicolon. Oh yeah. However, it is not literally correct. A is both grammatically incorrect and literally incorrect. B is grammatically correct, however it is not literally correct. A is both grammatically incorrect and literally incorrect.","1. Initial Assessment - ""Which sentence is correct? A. ... Or B. ... Okay. Right away, I'm a proofreader.""
2. Grammatical Analysis - ""So I'm like, have I missed a trick here? Yeah, because yolk is singular. And that is linked to the verb, which is singular.""
3. Literal Evaluation - ""So that is a grammatically correct question, but a yolk of an egg is not white, it is yellow.""
4. Comparative Judgment - ""A is both grammatically incorrect and literally incorrect. B is grammatically correct, however it is not literally correct.""
5. Reflection - ""However, it is not literally correct.""
6. Conclusion Formation - ""A is both grammatically incorrect and literally incorrect. B is grammatically correct, however it is not literally correct."""
99,2,"If you were running a race, and you passed the person in 2nd place, what place would you be in now?",1st,2nd," So if you're running a race and you pass the prison in 2nd place, what place would you be now in 1st? So 1st place.","1. Initial Assumption - So if you're running a race and you pass the prison in 2nd place, what place would you be now in 1st?
2. Premature Conclusion - So 1st place."
84,8,"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?",Oil lamp / Newspaper / Wood,Match," If you don't have one match and you walk in towards that room where there's a lamp, there's paper and wood, you would like the match first.","1. Initial Assumption - ""If you don't have one match""
2. Hypothesis Formation - ""you would like the match first"" 
3. Premise Modification - ""If you don't have one match"" (altering the initial condition)"
25,5,"In a one-storey pink house with everything pink, what colour were the stairs probably?",Pink,No stairs, Ink.,No clear function identified.
29,7,The wind blows west. An electric train runs east. In which direction does the smoke blow?,West,No smoke, The wind blows west and electric train winds east in which cardinal direction does the smoke from the locomotive blow. The wind blows west. In which cardinal direction? The wind blows. What? Mist.,"1. Repeating Information - ""The wind blows west and electric train winds east""
2. Identifying Key Elements - ""The wind blows west. In which cardinal direction?""
3. Confusion Expression - ""The wind blows. What?""
4. Mindless Recitation - ""Mist"" 
5. Breaking Down Question - ""The wind blows west and electric train winds east in which cardinal direction"""
29,10,Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?,b,The yolk is yellow, We send this the egg of the egg. The egg. The egg. The eggs. The eggs. The eggs.,"1. Reiteration - ""The egg. The egg. The eggs. The eggs. The eggs.""
2. Self-Questioning - ""We send this the egg of the egg.""
3. Linguistic Exploration - ""The egg. The eggs."""
60,9,Would it be ethical for a man to marry the sister of his widow?,Yes / No,Not possible," Would it be ethical for a man to marry the sister of his widow? Okay, so let's see. The sister of his widow. A man to marry the sister of his widow. No, because he would be dead, so that would not be cool. So, I mean widow, if he had a widow that means he's dead, right? So he shouldn't be marrying the sister.","1. Repeating Question - ""Would it be ethical for a man to marry the sister of his widow? Okay, so let's see.""
2. Identifying Assumptions - ""A man to marry the sister of his widow. No, because he would be dead, so that would not be cool.""
3. Defining Terms - ""So, I mean widow, if he had a widow that means he's dead, right?""
4. Drawing Conclusions - ""So he shouldn't be marrying the sister."""
77,2,"If you were running a race, and you passed the person in 2nd place, what place would you be in now?",1st,2nd," Keep reading aloud and saying every thought you think. I have to keep on going up to read the questions. If you were running a race and you passed the person in second place, what place would you be in now? Obviously first. Okay. First. Sorry to speak your","1. Initial Impression - ""Leads to the answer: Obviously first.""
2. Response Formation - ""Okay. First.""
3. Self-Categorization - ""Sorry to speak your"" 
4. Reading Comprehension - ""Keep reading aloud and saying every thought you think. I have to keep on going up to read the questions."""
6,10,Which sentence is correct: (a) 'the yolk of the egg are white' or (b) 'the yolk of the egg is white'?,b,The yolk is yellow, Which sentence is correct? The yolk of the egg are white or the yolk of the egg is white? I would say B sounds more grammarically correct.,"1. Evaluating Options - ""Which sentence is correct? The yolk of the egg are white or the yolk of the egg is white?""
2. Assessing Syntax - ""I would say B sounds more grammarically correct."""
63,3,It’s a stormy night and a plane crashes - in which country do you bury the survivors?,Burial location,Don't bury survivors," It's a stormy night and a plane takes off from John F. Kennedy Airport in New York. The storm worsens and the plane crashes half lands. It's a bit of an odd death there. The storm worsens and the plane crashes half lands in the United States, the other half lands in Canada. In which country do you bury the survivors? You don't bury any of the survivors because why would you bury people who've survived a plane crash? That's a slightly morbid thing to do, I would have thought. You do not bury any of the survivors. Yeah, you wouldn't bury anyone because they've survived the plane crash.","1. Initial Assumption - It's a stormy night and a plane takes off from John F. Kennedy Airport in New York.
2. Scenario Development - The storm worsens and the plane crashes half lands. It's a bit of an odd death there. The storm worsens and the plane crashes half lands in the United States, the other half lands in Canada.
3. Question Reevaluation - You don't bury any of the survivors because why would you bury people who've survived a plane crash?
4. Moral Consideration - That's a slightly morbid thing to do, I would have thought.
5. Conclusion Restatement - You do not bury any of the survivors. Yeah, you wouldn't bury anyone because they've survived the plane crash."
32,9,Would it be ethical for a man to marry the sister of his widow?,Yes / No,Not possible," Would it be ethical for a man to marry the sister of his widow? Not really, it is a new one.","1. Initial Reaction - ""Not really""
2. Novelty Recognition - ""it is a new one"""
2,1,"Mary’s father has 5 daughters but no sons—Nana, Nene, Nini, Nono. What is the fifth daughter’s name probably?",Nunu,Mary," Mary's father has five daughters but no sons. Nana, Nini, Nini, Nono, what is the fifth daughter's name probably? Nunu?","1. Information Reiteration - ""Mary's father has five daughters but no sons.""
2. Option Generation - ""Nana, Nini, Nini, Nono, what is the fifth daughter's name probably? Nunu?""
3. Default Assumption - ""Nunu?"""
24,8,"If you have only one match and you walk into a dark room with an oil lamp, a newspaper and wood—which thing would you light first?",Oil lamp / Newspaper / Wood,Match, I'm going to land.,No clear function identified.
34,2,"If you were running a race, and you passed the person in 2nd place, what place would you be in now?",1st,2nd," If you were running a race and you passed the person in second place, what place would you be in now? Second, if you passed the second, you are second. So...","1. Repeating Question - ""If you were running a race and you passed the person in second place, what place would you be in now?""
2. Applying Rule - ""Second, if you passed the second, you are second.""
3. Confirming Conclusion - ""So..."""
71,6,How many of each animal did Moses put on the ark?,Two,," So, how many of each animal did Moses put on the ark? Halfway done, don't forget to keep reading and thinking now. How many of each animal? Two. Two animals of each animal. Animals going two by two.","1. Initial Repetition - So, how many of each animal did Moses put on the ark?
2. Self-Reminding - Halfway done, don't forget to keep reading and thinking now.
3. Knowledge Retrieval - Two. Two animals of each animal. 
4. Analogical Reasoning - Animals going two by two."
