subject_id,question,transcription_new,chunks
2,4," A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first? The monkey, the squirrel or the bird? I'm not really sure. I'm not sure birds eat bananas. I don't really know.","Chunk 1:
A monkey, a squirrel and a bird are racing to the top of a coconut tree.

Chunk 2:
Who will get the banana first?

Chunk 3:
The monkey, the squirrel or the bird?

Chunk 4:
I'm not really sure.

Chunk 5:
I'm not sure birds eat bananas.

Chunk 6:
I don't really know."
2,5," In a one-story pink house, there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink. What color were the stairs? Probably. If everything was pink, I imagine the stairs were probably pink. Oh wait, actually, it's a one-story house. There's no stairs.","Chunk 1:
In a one-story pink house, there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink.

Chunk 2:
What color were the stairs? Probably. If everything was pink, I imagine the stairs were probably pink.

Chunk 3:
Oh wait, actually, it's a one-story house. There's no stairs."
2,6, How many of each animal did Moses put on the ark? Two of each animal.,"Chunk 1:
How many of each animal did Moses put on the ark?

Chunk 2:
Two of each animal."
2,7," The wind blows west, an electric train runs east, in which cardinal direction does the smoke from the locomotive blow? It's an electric train, so there's no smoke.","Chunk 1:
The wind blows west, an electric train runs east, in which cardinal direction does the smoke from the locomotive blow?

Chunk 2:
It's an electric train, so there's no smoke."
2,8," If you have only one match and you walk into a dark room where there is an oil lamp and newspaper and wood, which thing would you like first? You'd like the match first.","Chunk 1:
If you have only one match and you walk into a dark room where there is an oil lamp and newspaper and wood, which thing would you like first?

Chunk 2:
You'd like the match first."
2,9," Would it be ethical for a man to marry the sister of his widow? I don't really know. They're not blood relatives, so I'm not really sure whether it's ethical or not. It depends.","Chunk 1:
Would it be ethical for a man to marry the sister of his widow?

Chunk 2:
I don't really know.

Chunk 3:
They're not blood relatives, so I'm not really sure whether it's ethical or not.

Chunk 4:
It depends."
2,10, Which sentence is correct? A. The yolk and the egg are wise or B. The yolk of the egg is wise. I think B. The yolk of the egg is white. I suppose because the yoke of the egg are white would be for eggs plural whereas the yoke of the egg is white is for eggs singular.,"Chunk 1:
Which sentence is correct? A. The yolk and the egg are wise or B. The yolk of the egg is wise.

Chunk 2:
I think B.

Chunk 3:
The yolk of the egg is white.

Chunk 4:
I suppose because the yoke of the egg are white would be for eggs plural whereas the yoke of the egg is white is for eggs singular."
3,1," Mary's father has five daughters but no sons. Mary's father has five daughters but no sons. Nana? Nina? Nene? No, no. What is the fifth daughter's name probably? Please remember to read aloud and say everything that comes to mind microphone is already recorded speak through your thoughts so mary's father has five daughters but no sons nana nini nini no no what is the fifth daughter's name probably daughters four of them so it must be Mary","Chunk 1:
Mary's father has five daughters but no sons.

Chunk 2:
Mary's father has five daughters but no sons.

Chunk 3:
Nana? Nina? Nene? No, no.

Chunk 4:
What is the fifth daughter's name probably?

Chunk 5:
Please remember to read aloud and say everything that comes to mind microphone is already recorded speak through your thoughts

Chunk 6:
so mary's father has five daughters but no sons

Chunk 7:
nana nini nini no no

Chunk 8:
what is the fifth daughter's name probably?

Chunk 9:
daughters four of them so it must be Mary"
3,2," Okay, so if I was running a race and you passed the person in second place, what place would you now be in? So I would now be in second place because the person that was in second place I've passed them unless I pass them going backwards and I was first now I think it's presumably I'll now be second","Chunk 1:
Okay, so if I was running a race and you passed the person in second place, what place would you now be in?

Chunk 2:
So I would now be in second place because the person that was in second place I've passed them unless I pass them going backwards and I was first

Chunk 3:
now I think it's presumably I'll now be second"
3,3," It's a stormy night and a plane takes off from JFK Airport in New York. The storm worsens and the plane crashes. Half lands in the United States, the other half lands in Canada. In which country do you bury the survivors? Don't forget to keep reading and thinking aloud. I think it would be wherever they are from they would get buried as opposed to anything to do with where the plane took off from or the plane crashed Thank you.","Chunk 1:
It's a stormy night and a plane takes off from JFK Airport in New York. The storm worsens and the plane crashes. Half lands in the United States, the other half lands in Canada.

Chunk 2:
In which country do you bury the survivors? 

Chunk 3:
Don't forget to keep reading and thinking aloud. 

Chunk 4:
I think it would be wherever they are from they would get buried as opposed to anything to do with where the plane took off from or the plane crashed 

Chunk 5:
Thank you."
3,4," A monkey, a squirrel, a bird are racing to the top of a coconut tree. Who will get the banana first, the monkey, the squirrel, or the bird? A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first. Well, I'm thinking that a monkey likes bananas. I don't know if they're squirrel does and a bird does. They probably do. So, I would just say a monkey. Okay.","Chunk 1:
A monkey, a squirrel, a bird are racing to the top of a coconut tree. Who will get the banana first, the monkey, the squirrel, or the bird?

Chunk 2:
A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first.

Chunk 3:
Well, I'm thinking that a monkey likes bananas.

Chunk 4:
I don't know if they're squirrel does and a bird does.

Chunk 5:
They probably do.

Chunk 6:
So, I would just say a monkey.

Chunk 7:
Okay."
3,5," In one storey pink house there was a pink person, pink cat and a pink fish, a pink computer, pink chair, pink table, a pink telephone, a pink shower. Everything was pink. What colour were the stairs? Probably. Well, reading that it says everything was pink. But it says it's only a one-story pink house. So what colour were the stairs? So I'm thinking there wouldn't be any stairs. One-story house, might it have stairs for anything? I suppose it could have stairs to the front door, so I'm going to say pink.","Chunk 1:
In one storey pink house there was a pink person, pink cat and a pink fish, a pink computer, pink chair, pink table, a pink telephone, a pink shower. Everything was pink.

Chunk 2:
What colour were the stairs?

Chunk 3:
Probably. Well, reading that it says everything was pink.

Chunk 4:
But it says it's only a one-story pink house.

Chunk 5:
So what colour were the stairs?

Chunk 6:
So I'm thinking there wouldn't be any stairs.

Chunk 7:
One-story house, might it have stairs for anything?

Chunk 8:
I suppose it could have stairs to the front door, so I'm going to say pink."
3,6," How many of each animal did Moses put on the ark? It was two. Halfway done, don't forget to keep reading and thinking aloud. Okay, so the answer I'm thinking is two.","Chunk 1:
How many of each animal did Moses put on the ark?

Chunk 2:
It was two.

Chunk 3:
Halfway done, don't forget to keep reading and thinking aloud.

Chunk 4:
Okay, so the answer I'm thinking is two."
3,7," The wind blows west, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow? So I'm thinking the train is going east, and the wind is blowing west. So I would think that the smoke would be also going west, regardless of which way the train was going. It would blow it west.","Chunk 1:
The wind blows west, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow?

Chunk 2:
So I'm thinking the train is going east, and the wind is blowing west.

Chunk 3:
So I would think that the smoke would be also going west, regardless of which way the train was going.

Chunk 4:
It would blow it west."
3,8," If you have only one match and you walk into a darkroom where there is an oil lamp, a newspaper and wood, which thing would you light first? Well, I would think out of all of those, probably newspaper because it would be the easiest thing to light. And then I could use that to light the other things so I'm going to say newspaper","Chunk 1:
If you have only one match and you walk into a darkroom where there is an oil lamp, a newspaper and wood, which thing would you light first?

Chunk 2:
Well, I would think out of all of those, probably newspaper because it would be the easiest thing to light.

Chunk 3:
And then I could use that to light the other things so I'm going to say newspaper"
3,9," Would it be ethical for a man to marry the sister of his widow? Remember to say everything that comes to mind, even if it seems unrelated. So would it seem ethical? So a man to marry the sister of his widow? Yes, I think that's ethical. Some people might not. I can't think of a reason why it wouldn't be. It would be ethical for a man to marry the sister of his widow. Yes, it would be ethical. It would be ethical would be ethical","Chunk 1:
Would it be ethical for a man to marry the sister of his widow? Remember to say everything that comes to mind, even if it seems unrelated.

Chunk 2:
So would it seem ethical? So a man to marry the sister of his widow?

Chunk 3:
Yes, I think that's ethical.

Chunk 4:
Some people might not.

Chunk 5:
I can't think of a reason why it wouldn't be.

Chunk 6:
It would be ethical for a man to marry the sister of his widow.

Chunk 7:
Yes, it would be ethical.

Chunk 8:
It would be ethical would be ethical"
3,10," Which sentence is correct? A. The yolk of the egg are white. Or B. The yolk of the egg is white. The yolk of the egg are white. Well, it sounds a bit singular, so you think the yolk of the egg is white would be the answer. Right. Okay, so I'm going to say B.","Chunk 1:
Which sentence is correct? A. The yolk of the egg are white. Or B. The yolk of the egg is white.

Chunk 2:
The yolk of the egg are white.

Chunk 3:
Well, it sounds a bit singular, so you think the yolk of the egg is white would be the answer.

Chunk 4:
Right.

Chunk 5:
Okay, so I'm going to say B."
4,1," Mary's father has five daughters but no sons, Nana, Nini, Nini and Nono. What is the fifth daughter's name probably? Nunu.","Chunk 1:
Mary's father has five daughters but no sons, Nana, Nini, Nini and Nono.

Chunk 2:
What is the fifth daughter's name probably?

Chunk 3:
Nunu."
4,2," If you were running a race and you passed a person in second place, what place would you be now? I would be first place. I presume anyway.","Chunk 1:
If you were running a race and you passed a person in second place, what place would you be now?

Chunk 2:
I would be first place.

Chunk 3:
I presume anyway."
4,3, It's a stormy night and a plane takes off from JFK Airport in New York. The storm worsens and the plane crashes. Halflands in the United States and the other halflands in Canada. In which country do you bury the survivors? I presume it would be the United States?,"Chunk 1:
It's a stormy night and a plane takes off from JFK Airport in New York.

Chunk 2:
The storm worsens and the plane crashes.

Chunk 3:
Halflands in the United States and the other halflands in Canada.

Chunk 4:
In which country do you bury the survivors?

Chunk 5:
I presume it would be the United States?"
4,4," A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first, the monkey, the squirrel or the bird? I presume it would be the monkey because, oh I don't know, or could it be the squirrel? I presume the monkey because it's bigger and it can move quicker I presume. Not sure though, but I will put monkey.","Chunk 1:
A monkey, a squirrel and a bird are racing to the top of a coconut tree.

Chunk 2:
Who will get the banana first, the monkey, the squirrel or the bird?

Chunk 3:
I presume it would be the monkey because, oh I don't know, or could it be the squirrel?

Chunk 4:
I presume the monkey because it's bigger and it can move quicker I presume.

Chunk 5:
Not sure though, but I will put monkey."
4,5," In a one-storey pink house there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone and a pink shower Everything was pink, what colour were the stairs probably? Hmm, let me think Maybe pink by any chance?","Chunk 1:
In a one-storey pink house there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone and a pink shower

Chunk 2:
Everything was pink, what colour were the stairs probably?

Chunk 3:
Hmm, let me think

Chunk 4:
Maybe pink by any chance?"
4,6," How many of each animal did Moses put on the ark? Two Did Moses put on the ark? It wasn't Moses, it was our, I know it","Chunk 1:
How many of each animal did Moses put on the ark?

Chunk 2:
Two

Chunk 3:
Did Moses put on the ark?

Chunk 4:
It wasn't Moses, it was our, I know it"
4,7," The wind blows west and the electric train runs east. In which card and all direction does the smoke from the locomotive go? West, I don't know.","Chunk 1:
The wind blows west and the electric train runs east.

Chunk 2:
In which card and all direction does the smoke from the locomotive go?

Chunk 3:
West, I don't know."
4,8," If you have only one match and you walk into a dark room, where is an oil lamp, a newspaper and wood, which thing would you like first? Newspaper, I think. Oh, well, no. Oh. You would like the match first.","Chunk 1:
If you have only one match and you walk into a dark room, where is an oil lamp, a newspaper and wood, which thing would you like first?

Chunk 2:
Newspaper, I think.

Chunk 3:
Oh, well, no.

Chunk 4:
Oh.

Chunk 5:
You would like the match first."
4,9," Would it be ethical for a man to marry the sister of his widow? No, not to me anyway.","Chunk 1:
Would it be ethical for a man to marry the sister of his widow?

Chunk 2:
No, not to me anyway."
4,10," Which sentence is correct? A. The yolk of the egg are white. B. The yolk of the egg is white. Oh, normally it's yellow, so I don't get what that means, but put white. B.","Chunk 1:
Which sentence is correct?

Chunk 2:
A. The yolk of the egg are white.

Chunk 3:
B. The yolk of the egg is white.

Chunk 4:
Oh, normally it's yellow, so I don't get what that means, but put white.

Chunk 5:
B."
5,1," Mary, because if there's na na ni ni ni ni ni ni ni no, it would also be Mary.","Chunk 1:
Mary, because if there's na na ni ni ni ni ni ni ni no, it would also be Mary."
5,2," Theoretically first but obviously second. Since... wait, they've passed the person's second. But they haven't passed the person first, okay, second.","Chunk 1:
Theoretically first but obviously second.

Chunk 2:
Since... wait, they've passed the person's second.

Chunk 3:
But they haven't passed the person first, okay, second."
5,3, Which country they were born in Massachusetts? Which is the side in?,"Chunk 1:
Which country they were born in Massachusetts?

Chunk 2:
Which is the side in?"
5,4," Monkey screw up, otherwise. A bird, I reckon. Actually, screws have more knowledge of trees. Monkey from Klein Creek. Bird has better view, they can easily see. Wait, hang on, top of a coconut tree, why is there a banana in a coconut tree?","Chunk 1:
Monkey screw up, otherwise. A bird, I reckon.

Chunk 2:
Actually, screws have more knowledge of trees.

Chunk 3:
Monkey from Klein Creek.

Chunk 4:
Bird has better view, they can easily see.

Chunk 5:
Wait, hang on, top of a coconut tree, why is there a banana in a coconut tree?"
5,5," In a one story house, there is a pink person pink, a pink fish pink, pink, pink, pink, pink, pink, in one, oh wait, one story house. It was a one story house.","Chunk 1:
In a one story house, there is a pink person pink, a pink fish pink, pink, pink, pink, pink, pink, in one, 

Chunk 2:
oh wait, 

Chunk 3:
one story house. 

Chunk 4:
It was a one story house."
5,6," How many animals did Moses put on the earth? How many? One, two, and a mate?","Chunk 1:
How many animals did Moses put on the earth?

Chunk 2:
How many?

Chunk 3:
One, two, and a mate?"
5,7," The wind goes west, east, cardinal direction, west, going on south, east, north, east, south, west, depends which way, okay the wind, west.","Chunk 1:
The wind goes west, east, cardinal direction, west, going on south, east, north, east, south, west, depends which way, 

Chunk 2:
okay the wind, west."
5,8," If you only have one match, you'll walk into a dark room, whereas oil lamp... No idea what oil lamp is. It's a candle lamp. Newspaper set the lamp on fire and then set the wood on fire. But wait, you don't want to start fire. What do you want to write? Um, newspaper.","Chunk 1:
If you only have one match, you'll walk into a dark room, whereas oil lamp... 

Chunk 2:
No idea what oil lamp is. 

Chunk 3:
It's a candle lamp. 

Chunk 4:
Newspaper set the lamp on fire and then set the wood on fire. 

Chunk 5:
But wait, you don't want to start fire. 

Chunk 6:
What do you want to write? 

Chunk 7:
Um, newspaper."
5,9," It's not ethical but depends on the situation. Could be the circumstance for living on island. And they have no one else to get with. Um, but no, it's ethical. No.","Chunk 1:
It's not ethical but depends on the situation.

Chunk 2:
Could be the circumstance for living on island.

Chunk 3:
And they have no one else to get with.

Chunk 4:
Um, but no, it's ethical.

Chunk 5:
No."
5,10, Which sentence is correct? The yoke of the egg is white. The yoke of the egg is white.,"Chunk 1:
Which sentence is correct?

Chunk 2:
The yoke of the egg is white.

Chunk 3:
The yoke of the egg is white."
6,1," Mary's father had five daughters, but no son. Nana, Nini, Ninny, and Nano. What was the fifth daughter's name, probably? Probably Nunu, but considering it says Mary, I would guess that it would be, the daughter's name would actually be Mary.","Chunk 1:
Mary's father had five daughters, but no son. Nana, Nini, Ninny, and Nano.

Chunk 2:
What was the fifth daughter's name, probably?

Chunk 3:
Probably Nunu, but considering it says Mary, I would guess that it would be, the daughter's name would actually be Mary."
6,2," If you're running a race and you pass the person in second place, what place would you be in now? If you're running a race and you pass the person in second place, what place would you be in now? Well, if you pass the second person, you would be in first place.","Chunk 1:
If you're running a race and you pass the person in second place, what place would you be in now?

Chunk 2:
If you're running a race and you pass the person in second place, what place would you be in now?

Chunk 3:
Well, if you pass the second person, you would be in first place."
6,3, It's a stormy night and a plane takes off from JFK Airport in New York. The storm worsens and the plane crashes half lands in the United States and the other half in Canada. In what country do you bury the survivors? I would bury the survivors in their country of origin. So I guess my answer would be both.,"Chunk 1:
It's a stormy night and a plane takes off from JFK Airport in New York.

Chunk 2:
The storm worsens and the plane crashes half lands in the United States and the other half in Canada.

Chunk 3:
In what country do you bury the survivors?

Chunk 4:
I would bury the survivors in their country of origin.

Chunk 5:
So I guess my answer would be both."
6,4," A monkey, a squirrel, and a bird are racing to the top of a coconut tree. Who will get the banana first? The monkey, the squirrel, or the bird? No one will get the banana considering that they are going to a coconut tree. So none of the animals will get it first.","Chunk 1:
A monkey, a squirrel, and a bird are racing to the top of a coconut tree.

Chunk 2:
Who will get the banana first? The monkey, the squirrel, or the bird?

Chunk 3:
No one will get the banana considering that they are going to a coconut tree.

Chunk 4:
So none of the animals will get it first."
6,5," In a one-story pink house, there was a pink person, a pink cat, and a pink fish. A pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink. What color were the stairs probably? Well, considering that everything was apparently pink, I would assume the stairs would also be pink.","Chunk 1:
In a one-story pink house, there was a pink person, a pink cat, and a pink fish. A pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink.

Chunk 2:
What color were the stairs probably? Well, considering that everything was apparently pink, I would assume the stairs would also be pink."
6,6," How many of each animal did Moses put on the ark? I have no idea because I haven't read that story. So, show me.","Chunk 1:
How many of each animal did Moses put on the ark?

Chunk 2:
I have no idea because I haven't read that story.

Chunk 3:
So, show me."
6,7," The wind blows west, an electric train runs west, east, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow? West? I think?","Chunk 1:
The wind blows west, an electric train runs west, east, an electric train runs east.

Chunk 2:
In which cardinal direction does the smoke from the locomotive blow?

Chunk 3:
West? I think?"
6,8," If you only have one match and you walk into a dark room where there's an oil lamp, a newspaper, and wood, which thing would you light first? I would light the newspaper first because it would last the longest.","Chunk 1:
If you only have one match and you walk into a dark room where there's an oil lamp, a newspaper, and wood, which thing would you light first?

Chunk 2:
I would light the newspaper first because it would last the longest."
6,9," Would it be ethical for a man to marry the sister of his widow? No, it would not be ethical because it's the sister who had died.","Chunk 1:
Would it be ethical for a man to marry the sister of his widow?

Chunk 2:
No, it would not be ethical because it's the sister who had died."
6,10, Which sentence is correct? The yolk of the egg are white or the yolk of the egg is white? I would say B sounds more grammarically correct.,"Chunk 1:
Which sentence is correct?

Chunk 2:
The yolk of the egg are white or the yolk of the egg is white?

Chunk 3:
I would say B sounds more grammarically correct."
7,1, The fifth doubters name probably is Nana Thank you.,"Chunk 1:
The fifth doubters name probably is Nana 

Chunk 2:
Thank you."
7,2, I will be in a third place.,"Chunk 1:
I will be in a third place."
7,3, I will bury the survivors in the United States.,"Chunk 1:
I will bury the survivors in the United States."
7,4, Monkey will get the banana first because it is the speediest animal in this free. Thank you.,"Chunk 1:
Monkey will get the banana first because it is the speediest animal in this free.

Chunk 2:
Thank you."
7,5, The stairs were probably pink.,"Chunk 1:
The stairs were probably pink."
7,6, Moses put two animals in his ark.,"Chunk 1:
Moses put two animals in his ark."
7,7, The smoke from the locomotive blow will run in west direction.,"Chunk 1:
The smoke from the locomotive blow will run in west direction."
7,8, I will light a newspaper first because it's the most undifficult to light.,"Chunk 1:
I will light a newspaper first because it's the most undifficult to light."
7,9, It will not be ethical for a man to marry the sister of his widow because it's the family.,"Chunk 1:
It will not be ethical for a man to marry the sister of his widow because it's the family."
7,10, The jolk of the egg is white.,"Chunk 1:
The jolk of the egg is white."
8,1," Father hæft of no sons Nana, Nini, Nini, Nunu. What is the first daughter's name probably? Well they're all vowels aren't they? So it'll be... Nunu. Don't talk, it's a bit of a survey. Yes. Maybe svarar, yeah, Nunu. No, I'm talking now. Shush.","Chunk 1:
Father hæft of no sons Nana, Nini, Nini, Nunu.

Chunk 2:
What is the first daughter's name probably?

Chunk 3:
Well they're all vowels aren't they?

Chunk 4:
So it'll be... Nunu.

Chunk 5:
Don't talk, it's a bit of a survey.

Chunk 6:
Yes.

Chunk 7:
Maybe svarar, yeah, Nunu.

Chunk 8:
No, I'm talking now.

Chunk 9:
Shush."
8,2," You were running a race and you passed the person in second place. What place would you be in now? Well, you'd be in first place, wouldn't you, if they were second? First place.","Chunk 1:
You were running a race and you passed the person in second place.

Chunk 2:
What place would you be in now?

Chunk 3:
Well, you'd be in first place, wouldn't you, if they were second?

Chunk 4:
First place."
8,3," It's a stormy night and the plane takes off from JFK Airport in New York. The storm worsens and the plane crashes. Halflands in the United States, the other halflands in Canada. In which country do you bury the survivors? That's a bit of a morbid question. Well, it would depend on what nationality they were, I guess. So if they were from the United States, would they bury them there? And if they lived in Canada, would they bury them there? Horrible question. Half and half.","Chunk 1:
It's a stormy night and the plane takes off from JFK Airport in New York.

Chunk 2:
The storm worsens and the plane crashes.

Chunk 3:
Halflands in the United States, the other halflands in Canada.

Chunk 4:
In which country do you bury the survivors?

Chunk 5:
That's a bit of a morbid question.

Chunk 6:
Well, it would depend on what nationality they were, I guess.

Chunk 7:
So if they were from the United States, would they bury them there?

Chunk 8:
And if they lived in Canada, would they bury them there?

Chunk 9:
Horrible question.

Chunk 10:
Half and half."
8,4," A monkey and a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first, the monkey, the squirrel or the bird? Well, it wouldn't be a squirrel because squirrels don't like bananas and it wouldn't be a bird because birds don't eat bananas either. So it would be the monkey because that's what monkeys eat. So a monkey.","Chunk 1:
A monkey and a squirrel and a bird are racing to the top of a coconut tree.

Chunk 2:
Who will get the banana first, the monkey, the squirrel or the bird?

Chunk 3:
Well, it wouldn't be a squirrel because squirrels don't like bananas and it wouldn't be a bird because birds don't eat bananas either.

Chunk 4:
So it would be the monkey because that's what monkeys eat.

Chunk 5:
So a monkey."
8,5," And in one story pink house there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower, everything was pink. What color were the stairs probably? Well, if everything was pink then the stairs would be pink too. Pink!","Chunk 1:
And in one story pink house there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower, everything was pink.

Chunk 2:
What color were the stairs probably?

Chunk 3:
Well, if everything was pink then the stairs would be pink too.

Chunk 4:
Pink!"
8,6," How many of each animal did Moses put on the ark? Well the animals went in two by two. Hurrah, hurrah. So there was at least four of each animal. Oh god knows, thousands.","Chunk 1:
How many of each animal did Moses put on the ark?

Chunk 2:
Well the animals went in two by two.

Chunk 3:
Hurrah, hurrah.

Chunk 4:
So there was at least four of each animal.

Chunk 5:
Oh god knows, thousands."
8,7," The wind blows west, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow? What does it mean by cardinal direction? I have no idea. The wind blows west. That way, aren't we? An electric train runs east. That's that way. In which direction does the smoke? Well, there's no smoke because it's an electric train. That is a trick question. No smoke.","Chunk 1:
The wind blows west, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow?

Chunk 2:
What does it mean by cardinal direction? I have no idea.

Chunk 3:
The wind blows west. That way, aren't we? An electric train runs east. That's that way.

Chunk 4:
In which direction does the smoke? Well, there's no smoke because it's an electric train.

Chunk 5:
That is a trick question. No smoke."
8,8," If you have only one match and you walk into a dark room where there is an oil lamp, a newspaper and wood, which thing would you light first? Well, I'd light the oil lamp so that I could see in the room and then I'd be able to sit and read my newspaper and then if I got cold I could use the fire from the oil lamp, set fire to the wood and make fire. So, oil lamp.","Chunk 1:
If you have only one match and you walk into a dark room where there is an oil lamp, a newspaper and wood, which thing would you light first?

Chunk 2:
Well, I'd light the oil lamp so that I could see in the room and then I'd be able to sit and read my newspaper and then if I got cold I could use the fire from the oil lamp, set fire to the wood and make fire.

Chunk 3:
So, oil lamp."
8,9, Would it be ethical for a man to marry the sister of his widow?,"Chunk 1:
Would it be ethical for a man to marry the sister of his widow?"
8,10," Which sentence is correct? A. of the egg are white or B. the yolk of the egg is white. It's B. the yolk of the egg is white because that's what English determines it is. And anybody with a brain would know that. Oh, they're gonna love my answers, aren't they?","Chunk 1:
Which sentence is correct? A. of the egg are white or B. the yolk of the egg is white.

Chunk 2:
It's B. the yolk of the egg is white because that's what English determines it is.

Chunk 3:
And anybody with a brain would know that.

Chunk 4:
Oh, they're gonna love my answers, aren't they?"
9,1," Mac check, Mac check. Mac is only recording. Speak to your thoughts freely. Mary and Shmada and Shmada would be with my sons. Nanda, Nina, Nini, No-No, what is the fifth daughter's name? uh I owe you.","Chunk 1:
Mac check, Mac check. Mac is only recording. Speak to your thoughts freely.

Chunk 2:
Mary and Shmada and Shmada would be with my sons.

Chunk 3:
Nanda, Nina, Nini, No-No, what is the fifth daughter's name?

Chunk 4:
uh I owe you."
9,2," If you are around the race, you'd be fast to first and second place. You would be in second place. Second. Thank you.","Chunk 1:
If you are around the race, you'd be fast to first and second place.

Chunk 2:
You would be in second place.

Chunk 3:
Second.

Chunk 4:
Thank you."
9,3," Stormwinders and plane take over from JFK Airport in New York. Stormwinders and plane crashers in the U.S. They get buried in their own countries. Okay. Thank you. you Let's probably be buried in the water. Oh, thank you.","Chunk 1:
Stormwinders and plane take over from JFK Airport in New York.

Chunk 2:
Stormwinders and plane crashers in the U.S.

Chunk 3:
They get buried in their own countries.

Chunk 4:
Okay.

Chunk 5:
Thank you.

Chunk 6:
you

Chunk 7:
Let's probably be buried in the water.

Chunk 8:
Oh, thank you."
9,4," The monkey, the squirrel and the bird are racing to the top of the coconut tree. You will get your banana first. The monkey, the squirrel or the bird. They're racing up the coconut tree though. What do you mean? No word. No word. Namaste. Some of them have got their records down to the tree.","Chunk 1:
The monkey, the squirrel and the bird are racing to the top of the coconut tree.

Chunk 2:
You will get your banana first.

Chunk 3:
The monkey, the squirrel or the bird.

Chunk 4:
They're racing up the coconut tree though.

Chunk 5:
What do you mean?

Chunk 6:
No word.

Chunk 7:
No word.

Chunk 8:
Namaste.

Chunk 9:
Some of them have got their records down to the tree."
9,5," In a one story pink house there was a pink person, a pink cat, a pink fish and a pink computer. A pink chair, a pink table and a pink chair, a pink shower. Everything was pink. What colour were the stairs of the fish? Pink. Pink.","Chunk 1:
In a one story pink house there was a pink person, a pink cat, a pink fish and a pink computer.

Chunk 2:
A pink chair, a pink table and a pink chair, a pink shower.

Chunk 3:
Everything was pink.

Chunk 4:
What colour were the stairs of the fish?

Chunk 5:
Pink.

Chunk 6:
Pink."
9,6, How many of each animal disposers put on the ark? Halfway done. What? Taking a little long. Two.,"Chunk 1:
How many of each animal disposers put on the ark?

Chunk 2:
Halfway done.

Chunk 3:
What?

Chunk 4:
Taking a little long.

Chunk 5:
Two."
