subject_id,question,chunk_number,chunk_text,start_time,end_time
2,7,1,"The wind blows west, an electric train runs east.",1.381,4.612
2,7,2,In which cardinal direction does the smoke from the locomotive blow?,5.053,8.846
2,7,3,"It's an electric train, so there's no smoke.",10.511,12.538
2,8,1,"If you have only one match and you walk into a dark room where there is an oil lamp and newspaper and wood, which thing would you like first?",1.651,9.486
2,8,2,You'd like the match first.,10.149,11.374
2,9,1,Would it be ethical for a man to marry the sister of his widow?,1.212,4.796
2,9,2,I don't really know.,11.383,16.609
2,9,3,"They're not blood relatives, so I'm not really sure whether it's ethical or not.",17.51,24.958
2,9,4,It depends.,31.655,32.806
2,10,1,"Which sentence is correct? A, the yolk and the egg are white, or B, the yolk of the egg is white.",3.592,18.685
2,10,2,"I think B, the yolk of the egg is white.",18.705,20.947
2,10,3,"I suppose because the yolk of the egg are white,  B for eggs plural, whereas the oak of the egg is white is for eggs singular.",27.673,39.707
3,1,1,"Mary's father has five daughters, but no sons. Mary's father has five daughters, but no sons.",6.224,14.473
3,1,2,"Nana? Nina? Nini? No, no.",14.673,18.057
3,1,3,"What is the fifth daughter's name, probably?",19.218,21.6
3,1,4,Please remember to read aloud and say everything that comes to mind.,22.701,26.165
3,1,5,The microphone is already recorded to speak through your thoughts.,27.547,30.249
3,1,6,So Mary's father has five daughters.  But no sons.,30.91,36.449
3,1,7,"Nana, Nene, Nene. No, no.",37.291,40.599
3,1,8,What is the fifth daughter's name? Probably.,40.619,43.164
3,1,9,"Mary's father has five daughters. There's four of them, so it must be Mary.",46.792,52.305
3,1,10,So my response is Mary. Mary.,53.347,55.131
3,2,1,"Okay, so if I was running a race and you passed the person in second place, what place would you now be in?",9.7,19.075
3,2,2,"So I would now be in second place because the person that was in second place, I've passed them.",19.696,25.185
3,2,3,Unless I pass them going backwards and I was first.,26.367,31.435
3,2,4,Now I think it's presumably I'll now be second.,31.756,36.163
3,3,1,"It's a stormy night and a plane takes off from JFK Airport in New York. The storm worsens and the plane crashes. Half lands in the United States, the other half lands in Canada.",1.077,12.793
3,3,2,In which country do you bury the survivors? Don't forget to keep reading and thinking aloud.,13.334,20.464
3,3,3,I think it would be wherever they are from.,26.131,29.616
3,3,4,they would get buried as opposed to anything to do with where the plane took off from or the plane crashed.,29.933,37.446
3,4,1,"A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first, the monkey, the squirrel or the bird?",0.537,10.028
3,4,2,"A monkey, a squirrel and a bird are racing to the top of a coconut tree. Who will get the banana first?",11.57,21.823
3,4,3,"Well, I'm thinking that a monkey...",26.248,30.493
3,4,4,likes bananas.,31.064,32.288
3,4,5,I don't know if they're squirrel tears and a beard.,33.03,35.679
3,4,6,They probably do.,35.819,36.682
3,4,7,So I would just say a monkey.,37.806,39.792
3,5,1,"In one storey pink house there was a pink person, a pink cat and a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink.",0.031,13.69
3,5,2,What colour were the stairs?,14.17,15.693
3,5,3,"Probably. Well, reading that it says everything was pink.",15.793,21.901
3,5,4,But it says it's only a one storey pink house.,23.423,27.709
3,5,5,So what colour were the stairs?,28.516,30.419
3,5,6,So I'm thinking there wouldn't be any stairs.,31.421,33.505
3,5,7,"One-storey house, might it have stairs for anything?",35.348,39.395
3,5,8,"I suppose it could have stairs to the front door, so I'm going to say pink.",40.497,48.111
3,6,1,How many of each animal did Moses put on the ark?,1.246,4.113
3,6,2,It was two.,5.977,6.599
3,6,3,"Halfway done, don't forget to keep reading and thinking aloud.",6.639,11.451
3,6,4,"Okay, so the answer I'm thinking is two.",12.193,16.082
3,7,1,The wind blows west. An electric train runs east. In which cardinal direction does the smoke from the locomotive blow?,0.689,10.383
3,7,2,So I'm thinking the train is going east and the wind is blowing west.,10.403,23.342
3,7,3,"So I would think that the smoke  would be also going west, regardless of which way the train was going.",24.384,30.91
3,7,4,It would blow it west.,31.592,33.48
3,8,1,"If you have only one match and you walk into a dark room where there is an oil lamp, a newspaper and wood, which thing would you light first?",0.503,12.318
3,8,2,"Well, I would think out of all of those, probably newspaper because it would be the easiest thing to light.",12.338,20.729
3,8,3,And then I could use that to light the other things.,21.871,24.534
3,8,4,So I'm going to say newspaper.,25.115,26.697
3,9,1,"Would it be ethical for a man to marry the sister of his widow? Remember to say everything that comes to mind, maybe it seems unrelated.",0.031,9.044
3,9,2,So would it seem ethical? So a man to marry the sister of his widow?,9.505,17.036
3,9,3,"Yes, I think that's ethical. Some people might not. I can't think of a reason why it wouldn't be.",17.556,25.929
3,9,4,Would it be ethical for a man to marry the sister of his widow?  To marry the sister of his widow.,26.75,32.665
3,9,5,"Yes, it would be ethical. It would be ethical. Would be ethical.",33.186,57.24
3,10,1,"Which sentence is correct? A, the yolk of the egg are white. Or B, the yolk of the egg is white.",0.52,7.949
3,10,2,The yolk of the egg are white.,9.23,11.673
3,10,3,"Well, it sounds a bit singular, so you think the yolk of the egg is white would be the answer.",13.355,19.102
3,10,4,Right.,21.785,22.206
3,10,5,"OK, so I'm going to say B.",23.527,25.65
4,1,1,"Mary's father has five daughters but no sons,",7.675,11.525
4,1,2,"Nana, Nini, Nini and Nono.",11.545,14.112
4,1,3,"What is the fifth daughter's name, probably?",15.255,17.822
4,1,4,Nunu.,21.351,22.073
4,2,1,If you were running a race and you passed a person in second place,0.031,5.167
4,2,2,What place would you be now?,5.608,6.892
4,2,3,I would be first place,6.932,10.082
4,2,4,I presume anyway,10.102,14.074
4,3,1,It's a stormy night and a plane takes off from JFK Airport in New York.,0.841,6.288
4,3,2,The storm worsens and the plane crashes.,6.768,9.452
4,3,3,Halflands in the United States and the other halflands in Canada.,9.852,13.336
4,3,4,In which country do you bury the survivors?,13.837,16.12
4,3,5,I presume it would be the United States.,22.167,26.933
4,4,1,"A monkey, a squirrel and a bird are racing to the top of a coconut tree.",0.031,4.296
4,4,2,"Who will get the banana first, the monkey, the squirrel or the bird?",4.897,8.821
4,4,3,"I presume it'd be the monkey because, oh, I don't know.",10.463,15.429
4,4,4,Or could it be the squirrel?,15.449,16.831
4,4,5,"I presume the monkey because it's bigger and it can move quicker, I presume.",19.294,23.779
4,4,6,"Not sure though, but I will put monkey.",24.06,26.983
4,5,1,"In a one-storey pink house, there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone and a pink shower.",0.773,11.949
4,5,2,Everything was pink.,12.369,13.351
4,5,3,"What colour were the stairs, probably?",13.471,15.313
4,5,4,"Hmm, let me think.",16.255,16.976
4,5,5,"Maybe pink, by any chance?",17.677,19.98
4,6,1,How many of each animal did Moses put on the ark?,2.107,6.641
4,6,2,Two,9.209,9.45
4,6,3,Did Moses put on the ark?,15.328,17.054
4,6,4,"It wasn't Moses, it was our, I know it",17.114,19.12
4,7,1,I was playing.,1.195,4.1
4,7,2,The wind blows west and the electric train runs east.,4.621,7.906
4,7,3,In which cardinal direction does the smoke from the locomotive go blow?,8.347,12.954
4,7,4,"West, I don't know.",17.121,18.343
4,8,1,"If you have only one match and you walk into a dark room, where is an oil lamp, a newspaper and wood, which thing would you like first?",0.031,9.431
4,8,2,"Newspaper, I think.",13.118,14.401
4,8,3,"Oh, well, no.",15.544,16.085
4,8,4,Oh.,18.169,18.309
4,8,5,You would like the match first.,20.053,22.478
4,9,1,Would it be ethical for a man to marry the sister of his widow?,0.031,3.96
4,9,2,"No, not to me anyway.",10.094,11.998
4,10,1,Which sentence is correct? A. The yolk of the egg are white Or B. The yolk of the egg is white,0.25,9.205
4,10,2,Normally it's yellow so I don't get what that means,14.413,16.597
4,10,3,but I'll put white B.,16.837,19.221
5,1,1,"Because if there's na-na-ni-ni-ni-ni-ni-ni-no-no, it would also be Mary.",8.266,18.951
5,2,1,"Theoretically first, but obviously second.",7.22,10.874
5,2,2,"Since, wait, they've passed the person's second, but they haven't passed the person first, okay, second.",14.89,21.938
5,3,1,Whichever country they were born in last year,2.242,20.329
5,3,2,I've no idea,20.69,25.176
5,3,3,how can you land a plane half in Canada,25.197,28.862
5,3,4,It's just not gonna happen,29.243,30.865
5,3,5,in there.,40.7,42.341
5,4,1,"A bird, I reckon.",0.807,9.459
5,4,2,"Actually, squirrels have more knowledge about trees.",9.479,14.627
5,4,3,The monkey from Klein Creek.,15.108,17.892
5,4,4,A bird has better views.,17.912,21.096
5,4,5,They can easily see.,21.116,22.899
5,4,6,"Wait, hang on.",22.919,23.339
5,4,7,Top of a coconut tree.,23.48,24.341
5,4,8,Why is there a banana in a coconut tree?,24.361,25.903
5,5,1,"In a one-story house, there's a pink person, pink, and a pink fish, pink.",1.01,6.12
5,5,2,"Okay, pink everything.",6.141,6.722
5,5,3,Pink.,8.666,8.966
5,5,4,Pink.,13.556,13.917
5,5,5,In one-,15.199,15.64
5,5,6,oh wait!,15.68,17.744
5,5,7,One-story house.,17.764,21.773
5,5,8,It was a one-story house.,21.793,26.342
5,6,1,How many animals did Moses put on the earth?,0.031,2.655
5,6,2,Have we done?,2.695,21.145
5,7,1,"The wind goes west, east, cardinal direction, west, going south, east, north, east, south, west.",0.031,16.232
5,7,2,"Depends which ways, okay the wind, west.",17.734,20.858
5,8,1,"If you only have one match and walk into a dark room, where is an oil lamp?",0.031,9.885
5,8,2,I have no idea what an oil lamp is.,9.905,13.189
5,8,3,Is it a candle lamp?,13.209,15.733
5,8,4,"Um, newspaper, set the lamp on fire and then set the wood on fire.",17.715,25.005
5,8,5,"But wait, you don't want to start fire.",25.526,26.848
5,8,6,What if I'm a newspaper?,30.22,33.649
5,9,1,"It's not ethical, but it depends on the situation.",4.79,7.936
5,9,2,It could be the circumstance for living on an island and they have no one else to get with.,7.956,20.2
5,10,1,Which sentence is correct?,0.301,2.105
5,10,2,The yoke of the egg is white.,3.448,11.066
5,10,3,The yoke of the egg is white.,12.83,23.254
6,1,1,"Mary's father had five daughters, but no son. Nana, Nini, Nini, and Nano.",4.503,10.932
6,1,2,What was the fifth daughter's name probably?,11.673,16.199
6,1,3,"Probably Nunu, but considering it says Mary, I would guess that the daughter's name would actually be Mary.",16.239,25.431
6,2,1,"If you're running a race and you pass the person in second place, what place would you be in now?",2.478,8.731
6,2,2,"If you're running a race and you pass the person in second place, what place would you be in now?",8.772,19.054
6,2,3,"Well, if you pass the second person, you would be in first place.",19.595,22.461
6,3,1,It's a stormy night and a plane takes off from JFK Airport in New York.,2.039,6.145
6,3,2,The storm worsens and the plane crashes half...,7.066,10.551
6,3,3,The plane crashes half lands in the United States and the other half in Canada.,10.571,14.477
6,3,4,In what country do you bury the survivors?,15.719,18.143
6,3,5,I would bury the survivors in their country of origin.,18.163,25.553
6,3,6,Um...,25.573,28.097
6,3,7,So I guess my answer would be both.,33.005,34.493
6,4,1,"A monkey, a squirrel, and a bird are racing to the top of a coconut tree.",2.039,5.945
6,4,2,"Who will get the banana first? The monkey, the squirrel, or the bird?",7.067,10.272
6,4,3,No one will get the banana considering that they are going to a coconut tree.,10.292,22.191
6,4,4,So none of the animals will get it first.,22.411,25.296
6,5,1,"In a one-story pink house, there was a pink person, a pink cat, and a pink fish. A pink computer, a pink chair, a pink table, a pink telephone, a pink shower. Everything was pink.",1.769,13.868
6,5,2,What color were the stairs probably?,14.188,17.253
6,5,3,"Well, considering that everything was apparently pink, I would assume the stairs would also be pink.",17.313,23.963
6,6,1,How many of each animal did Moses put on the ark?,1.432,5.566
6,6,2,I have no idea because I haven't read that story.,7.974,14.395
6,7,1,The wind blows west.,3.068,4.911
6,7,2,An electric train runs west.,5.211,6.934
6,7,3,East.,7.695,7.935
6,7,4,An electric train runs east.,8.316,9.638
6,7,5,In which cardinal direction does the smoke from the locomotive blow?,9.838,15.447
6,7,6,West?,15.467,22.017
6,7,7,I think.,24.14,24.621
6,8,1,"If you only have one match and you walk into a dark room where there's an oil lamp, a newspaper, and wood, which thing would you light first?",1.786,12.066
6,8,2,I would light the newspaper first because it would last the longest.,13.128,18.799
6,9,1,Would it be ethical for a man to marry the sister of his widow?,2.427,6.235
6,9,2,"No, it would not be ethical because it's the sister who had died.",6.255,15.593
6,10,1,"Which sentence is correct? The yolk of the egg are white, or the yolk of the egg are white, or the yolk of the egg is white.",1.06,12.372
6,10,2,I would say B sounds more grammatically correct.,18.53,24.908
7,1,1,The fifth daughter's name probably is... Nana.,7.135,15.188
7,2,1,I will be in third place.,4.688,11.728
7,3,1,I will bury the survivors in the United States.,24.652,28.468
7,4,1,Monkey will get the banana first because it is the speediest animal in this free.,8.705,18.192
7,5,1,The stairs was probably ripping.,6.916,9.18
7,6,1,Moses put two to each animal in his ark.,0.284,7.543
7,7,1,The smoke from the locomotive blow will run in west direction.,3.423,13.872
7,8,1,I will light a newspaper first because it's the most difficult to light.,5.853,21.499
7,9,1,It will not be ethical for a man to marry the sister of his widow because it's the family.,10.021,16.791
7,10,1,The yolk of the egg is white.,6.933,10.902
8,1,1,Father hæft us but no sons.,1.364,3.026
8,1,2,"Nana, Nini, Nini, Nunu.",3.227,5.73
8,1,3,What is the first daughter's name probably?,6.491,8.594
8,1,4,"Well, they're all vowels, aren't they?",8.634,10.877
8,1,5,So it'll be.,10.897,11.938
8,1,6,Nunu.,12.339,12.78
8,1,7,"Don't talk, you're supposed to do my survey.",15.984,18.988
8,1,8,Yes.,19.008,19.429
8,1,9,Mami's father.,20.67,21.471
8,1,10,"Yeah, Nunu.",21.491,22.212
8,1,11,"No, I'm talking now.",22.232,28.661
8,1,12,Shush.,28.922,29.262
8,2,1,"If you were running a race and you passed a person in second place, what place would you be in now?",1.043,7.725
8,2,2,"Well, you'd be in first place, wouldn't you, if they were second?",7.765,11.617
8,2,3,First place.,12.46,13.483
8,3,1,It's a stormy night and the plane takes off from JFK Airport in New York.,1.465,5.911
8,3,2,The storm worsens and the plane crashes.,6.012,8.735
8,3,3,"Halflands in the United States, the other halflands in Canada.",9.497,13.062
8,3,4,In which country do you bury the survivors?,14.003,16.707
8,3,5,That's a bit of a morbid question.,17.828,19.451
8,3,6,"Well, it would depend what nationality they were, I guess.",20.913,26.301
8,3,7,So if they were from the United States to bury them there and if they lived in,26.321,30.747
8,3,8,Can I do a bury them there?,31.03,32.78
8,3,9,Horrible question.,33.223,34.208
8,3,10,Half and half.,35.073,36.079
8,4,1,A monkey and a squirrel and a bird are racing to the top of a coconut tree.,1.297,5.822
8,4,2,"Who will get the banana first, the monkey, the squirrel or the bird?",6.503,10.267
8,4,3,"Well, it wouldn't be a squirrel because squirrels don't like bananas and it wouldn't be a bird because birds don't eat bananas either.",12.029,22.621
8,4,4,So it would be the monkey because that's what monkeys eat.,22.721,25.484
8,4,5,So a monkey.,25.504,26.325
8,5,1,"In a one story pink house there was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower, everything was pink.",0.335,11.419
8,5,2,What color were the stairs probably?,12.161,13.704
8,5,3,"Well, if everything was pink then the stairs would be pink too.",13.764,17.613
8,5,4,Pink!,17.633,18.715
8,6,1,How many of each animal did Moses put on the ark?,0.031,4.621
8,6,2,"Well, the animals went in two by two.",5.843,7.667
8,6,3,So there was at least four of each animal.,9.17,18.85
8,7,1,"The wind blows west, an electric train runs east. In which cardinal direction does the smoke from the locomotive blow?",1.718,9.405
8,7,2,What does it mean by cardinal direction? I have no idea.,10.346,13.509
8,7,3,"The wind blows west. That way, that way. An electric train runs east. That's that way.",13.549,21.616
8,7,4,In which direction does the smoke?,22.056,23.278
8,7,5,"Well, there's no smoke because it's an electric train. That is a trick question. No smoke.",23.298,29.363
8,8,1,"If you have only one match and you walk into a dark room where there is an oil lamp, a newspaper and wood, which thing would you light first?",0.571,8.603
8,8,2,"Well, I'd light the oil lamp so that I could see in the room and then I'd be able to sit and read my newspaper.",8.803,18.317
8,8,3,"And then if I got cold, I could use the fire from the oil lamp, set fire to the wood and make fire.",18.377,25.527
8,8,4,So oil lamp.,25.847,28.992
8,9,1,Would it be ethical for a man to marry the sister of his widow?,0.352,9.911
8,9,2,"No, I don't think it would be ethical.",9.931,22.596
8,10,1,"Which sentence is correct? A, look if the egg are white, or B, the yolk of the egg is white.",0.655,5.89
8,10,2,"It's B, the yolk of the egg is white, because that's what English determines it is.",6.03,11.185
8,10,3,And anybody with a brain would know that.,12.168,15.517
8,10,4,"Oh, they're going to love my answers, aren't they?",15.538,17.483
9,1,1,Mac check. Mac check. Mac check. Mac one is really recording.,1.938,11.81
9,1,2,Speak to your thoughts freely.,12.211,13.432
9,1,3,Mary and Father and Father of the Lord are the most sons.,28.35,31.354
9,1,4,"Nana, Nina, Nini, No-No, what is the fifth daughter's name, I told you.",32.819,38.678
9,1,5,A-A-O-U,64.814,69.829
9,2,1,"If you're a rounder race, you'd cost the first and second pass, so that should be in your event second place.",2.697,12.37
9,3,1,Stormwind night and a plane take away from JFK Airport in New York. Storm worsens the plane crashes. Half lands in the New United States. Other half lands in Canada. In which country can you bury the survivors?,3.035,19.057
9,3,2,Don't forget to keep reading as they can out loud. The microphone is ready. I've already recorded.,19.077,25.587
9,3,3,Stormwind night and a plane take away.,27.91,29.532
9,3,4,It all depends where they're from.,32.347,33.481
9,3,5,Bye.,64.612,64.872
9,3,6,It's probably buried in the water.,131.977,150.087
9,4,1,"The monkey, the squirrel, and the bird are racing to the top of the coconut tree.",0.807,4.673
9,4,2,We will get to the banana first.,5.474,6.916
9,4,3,"The monkey, the squirrel, or the bird.",7.196,9.119
9,4,4,They're racing up the coconut tree there.,10.881,12.424
9,4,5,What do you mean?,15.608,16.189
9,4,6,No word.,16.209,19.173
9,4,7,No word.,22.939,23.76
9,4,8,"some of them, because they're racing us down on the street.",52.63,55.232
9,5,1,"In a one story pink house, there was a pink person, a pink cat, a pink fish and a pink computer.",0.335,10.689
9,5,2,"A pink chair, a pink table and a pink table, a pink shower.",11.39,14.574
9,5,3,Everything was pink.,15.235,16.697
9,5,4,What color were the stairs?,16.717,18.499
9,5,5,Pink.,18.9,24.267
9,6,1,How many of each animal does Moses put on the ark?,2.765,5.398
9,6,2,Halfway done.,7.147,7.851
9,6,3,What?,8.474,8.916
9,6,4,It's taking a little long.,8.937,11.188
9,7,1,The wind blows west. An electric train runs east. In which bottom or direction does the smoke from the locomotive flow?,1.702,11.476
9,7,2,What? Stay stationary. West. Yeah.  Stay stationary. Must be all drinking as well. All in the same position. Small.,11.496,55.941
9,7,3,"Wait, it's electric.",58.525,59.687
9,7,4,way I don't know what a locomotive is I'm guessing it's the electric train hence there wouldn't be any sort,65.067,77.575
9,7,5,I really hope the local motor means train. There would be smoke.,125.26,131.253
9,7,6,"Yeah, there wouldn't be any smoke because it's an electric train.",134.23,136.603
9,8,1,"Um, if you have only one match and you've walked into a dark room where there's an oil lamp, newspaper and wood,",2.613,12.684
9,8,2,"which of these would choose our first oil lamp,",12.704,15.171
9,9,1,Would it be ethical for a man to marry his sister of his widow?,0.622,6.391
9,9,2,"That's a very, very large circumstance, but I didn't know how to use it.",10.798,14.745
9,9,3,It's a weird word to deliver.,14.765,18.15
9,9,4,"Logically, no.",19.753,20.554
9,10,1,The jerk of an egg.,2.275,3.779
9,10,2,The jerk of an egg.,4.541,7.449
9,10,3,Egg all water.,7.469,9.975
9,10,4,The jerk of an egg is water.,10.035,12.201
9,10,5,Big.,12.221,15.249
9,10,6,Press it.,15.269,16.352
10,1,1,so um hmm mary's father has five daughters but no sons,1.246,14.342
10,1,2,nini nini no no,15.023,17.185
10,1,3,what is the fifth daughter's name,17.466,19.408
10,1,4,probably um a,19.688,28.519
10,1,5,"A, B, C, D, A, B, C, D, E, 5, A, B, C, D, F, G,",33.967,62.792
10,1,6,"Maybe it's S G H I,",64.291,72.507
10,1,7,okay.,72.968,73.068
10,1,8,"I J K L M N O 7, 5,",74.07,80.562
10,1,9,okay.,86.975,87.075
10,1,10,O-Q-R-S-T-U-V-U.,91.19,96.362
10,1,11,I don't know.,96.382,97.006
10,1,12,Who knew?,97.509,97.69
10,2,1,"If you're running a race and you pass the person in second place, what place would you be in now?",3.44,9.06
10,2,2,"Well, it would be first place.",9.08,14.901
10,3,1,It's a stormy night and a plane takes off from JFK Airport in New York.,2.461,8.155
10,3,2,The storm worsens and the plane crashes half lands in the United States.,8.817,13.228
10,3,3,The other half lands in kind of which country do you bury the survivors?,13.749,20.065
10,3,4,"I think it depends mainly on the family, I guess, or the people who died.",33.983,40.494
10,3,5,"But in this case, since the plane took off from New York, might as well bury them in the United States.",42.537,53.275
10,4,1,"A monkey, a squirrel, and a bird are racing to the top of the country.",1.617,6.442
10,4,2,Here we'll get the banana first.,7.223,8.525
10,4,3,"The monkey, squirrel, or the bird?",9.186,10.968
10,4,4,Not the squirrel.,11.008,25.224
10,4,5,Maybe the monkey?,29.869,30.73
10,5,1,"In a one-story pink house, there was a pink person, a pink fish, a pink table, a pink shower.",4.165,15.011
10,5,2,Everything was pink.,15.031,15.713
10,5,3,What colour was there is probably what I mean.,15.733,19.542
10,6,1,How many of each animal did Moses pick?,2.782,7.21
10,6,2,I'll just guess and say a hundred.,7.23,8.961
10,7,1,The wind blows to west and the train runs east in which idle direction is the smoke from the locomotive blow.,1.482,8.654
10,7,2,"So it's east, wind blows, wind blows to west, train runs east, west.",10.677,21.955
10,8,1,if you have only one match and you walk into the top of the desert or that piece of Bromwood which thing would you like first?,1.887,8.744
10,8,2,The oil lamp of course,9.666,13.956
10,9,1,Would it be ethical for him to marry his sister?,1.229,3.214
10,9,2,The sister of his...,4.036,5.4
10,9,3,"I wouldn't say so, but...",6.984,17.23
10,9,4,I would say no.,17.25,17.972
10,10,1,Which sentence is correct?,0.824,1.907
10,10,2,"The york, the egg are white.",1.928,4.034
10,10,3,"The york, the egg is white.",4.476,6.181
10,10,4,It'll be is because R doesn't make sense.,8.288,11.217
10,10,5,Doesn't fit at all.,12.0,13.264
11,1,1,There were seven windows in the house where I lived.,1.263,22.68
11,2,1,What is the registration? What the hell is that?,3.052,13.612
11,2,2,"Well, that would be first place",19.163,21.568
11,2,3,Yes First place,25.295,31.607
11,3,1,It's a storm united and the plane excels from the ASK airport in New York.,0.959,4.683
11,3,2,The storm worsens and the plane crashes half lands in the United States.,4.723,8.508
11,3,3,The other half lands in Canada.,8.588,9.91
11,3,4,In which country do you bury the survivors?,10.39,13.474
11,3,5,"Well, what is the plane?",16.618,20.562
11,3,6,It would be the United States because I don't know if the people are American.,23.225,28.772
11,4,1,"A monkey, a squirrel and a bird are racing to the top of a coconut tree.",0.031,4.577
11,4,2,"Who will get the banana first, the monkey, the squirrel or the bird?",4.657,8.322
11,4,3,So who is the fastest?,10.625,14.691
11,4,4,I think monkey.,16.874,19.017
11,4,5,Not sure.,20.018,21.28
11,5,1,"One-story pink house. There was a pink person, a pink cat, a pink fish, a pink computer, a pink chair, a pink table, a pink telephone, a pink shower.",0.031,7.726
11,5,2,Everyone was pink.,8.347,9.369
11,5,3,What color were the stars?,9.51,11.233
11,5,4,Probably.,11.493,12.355
11,5,5,"Well, it's obviously pink, I think.",14.8,18.968
11,6,1,How many rich animals did Moses put on the ark?,0.031,3.179
11,6,2,I don't know.,7.209,8.271
11,6,3,How many animals are in the world?,9.996,11.78
11,6,4,Not sure.,12.502,13.123
11,6,5,"Well, I think there are thousands of them.",14.567,19.98
11,6,6,"Well, I'm gonna put in thousands.",21.685,24.672
11,7,1,"If wind blows west, an electric train runs east, in which guardian direction does the smoke from the lock could motivate you?",0.031,9.424
11,7,2,"So if it's east, west.",9.444,17.713
11,7,3,Because the smoke follows wind.,17.733,20.402
11,8,1,"If you have only one match and you walk into a dark room where there is an oil lamp, a newspaper and wood, which thing would you light first?",0.031,7.612
11,8,2,An oil lamp.,9.597,11.482
11,8,3,Because it would be the thing that most resembles the stars of light.,15.032,22.191
11,9,1,the ethical forment where the sister of his,0.031,2.889
11,9,2,we don't know,3.915,6.733
11,10,1,A the yolk of the egg is white.,0.031,10.433
11,10,2,B,13.48,13.5
12,1,1,"Maybe Nunu, because that's the vowel that has not been used.",0.031,16.168
12,1,2,"Yeah, Nunu.",17.451,19.035
12,2,1,"I would be second, because I just passed by the second one.",1.094,8.534
12,2,2,"So yeah, second, second place.",9.717,12.184
12,2,3,That's logical.,13.226,14.209
12,3,1,United States because the airplane took off in JFK.,0.031,17.365
12,3,2,JFK is in the United States or USA.,18.768,21.313
12,4,1,Monkey because he's able to climb faster than a scribble or a bird.,3.119,18.644
12,4,2,He's the fastest one.,18.664,19.626
12,5,1,"Pink probably, because everything is pink already, so why not?",6.916,12.504
12,5,2,Pink.,13.067,13.348
12,6,1,How many of each animal this month is?,2.714,6.245
12,6,2,A lot.,7.328,7.709
12,6,3,"Like, I'm unable to give an exact number, but yeah, a lot.",8.612,15.272
12,7,1,It's complicated.,1.128,11.667
12,7,2,"The smoke goes west, like in the way the wind blows.",12.729,27.996
12,8,1,You have only one match and you walk into a dark room.,2.174,4.78
12,8,2,There's an oil lamp.,6.404,9.25
12,8,3,An oil lamp because that's gonna give me some light.,9.892,14.723
12,8,4,"Yeah, oil lamp.",15.485,16.487
12,9,1,Would it be ethical for a man to marry the sister of his widow?,0.031,3.168
12,9,2,"No, that would be unethical.",4.073,6.023
